INDEX,ADDRESS,ADMINISTRATOR,CITY,FACILITY_TYPE,NAME,PHONE,ST,ZIP,OWNER,lat,long
1700,7840 E Us 36 Suite A,Matthew Freije,Avon,Outpatient Physical Therapy,Select Physical Therapy,(317)272-4500,IN,46123,,39.7643223,-86.384145
1701,10701 Alliance Drive Suite D,,Camby,Outpatient Physical Therapy,Physiotherapy Associates,(317) 821-3740,IN,46113,,39.63766553124861,-86.33089723336028
1702,2028 Lebanon Road,,Crawfordsville,Outpatient Physical Therapy,Physiotherapy Associates Inc,(765) 362-4151,IN,47933,,40.04683045062327,-86.8788870015269
1703,11854 Allisonville Road Ste F,Jayne Fleck Pool,Fishers,Outpatient Physical Therapy,Physiotherapy Associates,(317) 845-9628,IN,46038,,39.960714520259,-86.038755170491
1704,6330 East 75Th Street Suite 116,Cindy Dezember,Indianapolis,Outpatient Physical Therapy,Physiotherapy Associates,(317) 577-9338,IN,46250,,39.892237800000004,-86.05797618688487
1705,35 Bills Blvd,Darin Wettschurack,Martinsville,Outpatient Physical Therapy,Select Physical Therapy,(765)349-9678,IN,46151,,,
1706,3075 Middle Road Ste B,Katie Finke,Columbus,Outpatient Physical Therapy,Select Physical Therapy,(812)372-7023,IN,47203,,39.221857150000005,-85.88659395340694
1707,1130 West Jefferson St Ste A,Danielle Johnson,Franklin,Outpatient Physical Therapy,Select Physical Therapy,(317)736-0660,IN,46131,,38.24945855,-85.7700355140849
1708,2675 Foxpointe Dr,,Columbus,Outpatient Physical Therapy,Select Physical Therapy,(812) 378-2185,IN,47203,,39.225312760125,-85.870290949431
1709,3830 Shore Drive Ste A,Michael Walsh,Indianapolis,Outpatient Physical Therapy,Select Physical Therapy,(317)298-9746,IN,46254,,39.82441609999999,-86.28246425905289
1710,1048 N Shadeland Ave,,Indianapolis,Outpatient Physical Therapy,Select Physical Therapy,(317) 356-7800,IN,46219,,39.7827733,-86.0459335
1711,2564 Fox Pointe Dr,,Columbus,Outpatient Physical Therapy,Select Rehabilitaton Llc,(812)372-0950,IN,47203,,39.22482075,-85.86783458823291
1712,4411 S Adams St,Timothy Purdom,Marion,Outpatient Physical Therapy,The Center For Sports & Physical Therapy,(765)674-4455,IN,46953,,42.084710349999995,-80.17447235134125
1713,1310 Manchester Ave,,Wabash,Outpatient Physical Therapy,Center For Sports & Physical Therapy,(765) 674-4455,IN,46992,,40.8218506,-85.8033884
1714,7336 W State Road 165,Keenan Hape,Owensville,Outpatient Physical Therapy,Transcendent Healthcare Outpatient Services Llc,(812)779-7023,IN,47665,,41.190695,-85.0500353
1715,"303 Congressional Blvd, 2Nd Floor Suite 2020",Abshir Mohamud,Carmel,Personal Care Service Agency,1 Alliance Home Care Llc,(317)970-1844,IN,46032,,39.958489270438,-86.152472698784
1716,11248 Redskin Lane Apt E,Kenzhana Springer,Indianapolis,Personal Care Service Agency,1 Angels Love Homecare Llc,(317)285-8550,IN,46235,,39.81376855,-85.96663798816667
1717,15674 Whelchel Drive,Malick Ndiaye,Fishers,Personal Care Service Agency,1 Care Services Llc,(317)506-3536,IN,46037,,39.9660919,-85.8833503
1718,10744 Tallow Wood Lane,Rashand Mitchell,Indianapolis,Personal Care Service Agency,1 Of A Kind Home Care Llc,(317)652-5367,IN,46236,,39.88142805,-85.97803932748378
1719,3181 West 100 North,Adriana Rogers,Tipton,Personal Care Service Agency,1 On 1 Family Care,(765)210-9675,IN,46072,,40.5225984,-86.12712772568413
1720,3026 East Washington Street,Rolanda Lolla,Indianapolis,Personal Care Service Agency,1 On 1 Personal Home Care Llc,(317)529-2609,IN,46201,,39.76911440000001,-86.11232330025192
1721,"8604 Allisonville Rd, Suite 325",Jesse Hoffman,Indianapolis,Personal Care Service Agency,1 Passion To Care Indiana Llc,(317)537-1811,IN,46250,,39.912676273683,-86.075002228481
1722,9730 Oakhaven Court,Sara Hyche,Indianapolis,Personal Care Service Agency,1 Stop Homecare Services Llc,(317)258-6672,IN,46256,,39.89959775,-85.99608530134122
1723,303 Congressional Blvd Ste 200,James Jones Jr,Carmel,Personal Care Service Agency,"1111 Home Care, Llc",(317)583-1600,IN,46032,,39.958489270438,-86.152472698784
1724,4443 N Elizabeth Street,Vanicia Morris,Indianapolis,Personal Care Service Agency,116 Quality Services Llc,(317)921-6768,IN,46226,,39.83743785,-86.0520678
1725,2662 Willow Glen Circle,Janea Reaves,Indianapolis,Personal Care Service Agency,1610 Joyful Care Services Llc,(317)702-1492,IN,46229,,39.7102342,-86.1168945
1726,2662 Willow Glen Circle,Jermaine Reaves,Indianapolis,Personal Care Service Agency,1630 Serene Care Solutions Llc,(317)441-7983,IN,46229,,39.7102342,-86.1168945
1727,402 E Main Street,Ashley Brown,Fort Wayne,Personal Care Service Agency,1St Choice Home Care Llc,(260)503-2046,IN,46802,,41.0809657,-85.1348094
1728,6801 Lake Plaza Dr Suite A-11,Latorious Wilkes,Indianapolis,Personal Care Service Agency,1St Choice Personal Care Llc,(800)605-6033,IN,46220,,39.87984555,-86.0687169902883
1729,9165 Otis Avenue Suite 167,Theresia Cooley,Indianapolis,Personal Care Service Agency,1St Class Personal Services Llc,(317)515-5324,IN,46216,,39.856559693755,-86.0064511867
1730,6919 E 10Th Street St Ste E-E2,Angela Halliburton,Indianapolis,Personal Care Service Agency,1St Faith Home Care Service Llc,(317)982-7123,IN,46219,,39.78085145,-86.04754260346051
1731,8501 Wakefield Ct,Whitney Scott,Indianapolis,Personal Care Service Agency,1St Moments Home Care Llc,(765)609-9023,IN,46256,,39.9107261,-86.03204868958463
1732,7640 Horsetail Dr Apt H,Tyana Carpenter,Indianapolis,Personal Care Service Agency,1St Purpose Care Llc,(317)799-4438,IN,46260,,39.892627,-86.20217261725531
1733,8119 Carina Drive,Erica Sharp,Indianapolis,Personal Care Service Agency,1St Step Home Care Inc,(317)656-7220,IN,46268,,39.90241705,-86.2207910297619
1734,303 Congressional Blvd Suite 200,Chaitina Anthony,Carmel,Personal Care Service Agency,24/7 Homecare Solutions,(463)345-2541,IN,46032,,39.958489270438,-86.152472698784
1735,7631 Jackson Street,Betty Nowinski,Merrillville,Personal Care Service Agency,2Nd Chance Homecare Services Llc,(219)383-3288,IN,46410,,41.46274294741267,-87.34435427614147
1736,3815 River Crossing Pkwy Suite 100,Jamika Daulton,Indianapolis,Personal Care Service Agency,3-11 Home Care Llc,(317)652-5367,IN,46240,,39.915562026587,-86.099267255284
1737,11653 Stoeppelwerth Drive,Vanessa Gorham,Indianapolis,Personal Care Service Agency,360 Home Care Services Llc,(317)360-2421,IN,46229,,39.7928701,-85.95783309833058
1738,556 Lynn Street,Danyell Johnson,Indianapolis,Personal Care Service Agency,3Generations Home Care,(317)519-1129,IN,46222,,39.75879995,-86.18261353735855
1739,2431 Galaxy Lane,Aliesha Young,Indianapolis,Personal Care Service Agency,"4 Ever Young, Llc",(317)658-6019,IN,46229,,39.8028997,-86.0074013
1740,"8085 Randolph St., Unit 3 Suite C",Sharon Jones,Hobart,Personal Care Service Agency,4 Hearts Home Care Llc,(219)400-0191,IN,46342,,41.311297474524935,-87.23913059082433
1741,5747 Ensley Court,Venisha Walls,Indianapolis,Personal Care Service Agency,4 Pretty Purple Walls Llc,(317)418-9322,IN,46254,,39.856495100000004,-86.23771806150631
1742,5114 Tuscany Lane,Laantwanette Stokes,Indianapolis,Personal Care Service Agency,4 Seasons Of Love Homecare Llc,(317)627-9023,IN,46254,,39.8449371,-86.2412034
1743,3406 Blackforest Lane,Shanjae Gilbert,Indianapolis,Personal Care Service Agency,4 U Personal Care Llc,(317)383-6048,IN,46239,,39.719241499999995,-86.02080287768817
1744,1946 Kessler Blvd North Drive,Valerie Boyd,Indianapolis,Personal Care Service Agency,4 Walls For All Llc,(317)643-9255,IN,46222,,39.7931779,-86.2115337
1745,1956 Holloway Avenue,Ameco Martin,Indianapolis,Personal Care Service Agency,4Ever Home Care Llc,(317)912-8000,IN,46218,,39.793923500000005,-86.12705698043479
1746,8810 Wicklow Way,Ashley Parrish,Brownsburg,Personal Care Service Agency,4Seasons Home Care Llc,(317)412-8834,IN,46112,,39.8007249,-86.3707868
1747,3030 Hillside Ave A,Lashanda Brownie,Indianapolis,Personal Care Service Agency,5 Star Home Care Llc,(317)491-0636,IN,46218,,39.811507500000005,-86.12435135
1748,1009 West 33Rd St.,Corey Shotwell,Indianapolis,Personal Care Service Agency,7 Star Home Care Llc,(317)513-8671,IN,46208,,39.8138692,-86.1785571
1749,"5251 S East Street, Ste 13",Riona Pruitt,Indianapolis,Personal Care Service Agency,831 Home Care Llc,(317)628-6208,IN,46227,,39.689875,-86.14809385839963
1750,4232 Londonderry Drive,Atta Atiya,Indianapolis,Personal Care Service Agency,A & A Caregivers Llc,(567)328-8045,IN,46221,,39.7014724,-86.2435651
1751,1741 Handball Ln Apt D,Brandi White,Indianapolis,Personal Care Service Agency,A & B Homecare Services Llc,(317)682-0020,IN,46260,,39.9222756,-86.1903502
1752,5348 Glencoe Street,Kevin Johnson,Indianapolis,Personal Care Service Agency,A & J Home Care Llc,(317)225-8120,IN,46226,,39.7729031,-86.25266635709676
1753,5845 Sunnyside Road Suite 800-E,Arielle Davis,Indianapolis,Personal Care Service Agency,A & R Transportation And Homecare Services Llc,(317)661-1932,IN,46235,,39.86151215,-85.97219180132642
1754,1617 Maplewood Lane,Sharon Jackson,Pendleton,Personal Care Service Agency,A Angels Touch Homecare Llc,(317)464-0033,IN,46064,,39.980933112247655,-85.74681096582948
1755,2851 Madison Avenue,Tonisha Williams,Indianapolis,Personal Care Service Agency,A Better Life Home Care Llc,(317)749-0754,IN,46225,,39.806422999999995,-86.214529
1756,9800 Crosspoint Blvd Suite 200,Keyana Newsom,Indianapolis,Personal Care Service Agency,A Better Place Home Care Llc,(317)517-2518,IN,46256,,39.932588108367,-86.027854582626
1757,10118 Park Royale Drive,Sasha Morris,Indianapolis,Personal Care Service Agency,A Better Solution Homecare Llc,(317)507-0682,IN,46229,,39.791354749999996,-85.98785849276234
1758,10475 Crosspoint Blvd #250,Weston Soto,Indianapolis,Personal Care Service Agency,A Better Solution In Home Care Inc,(877)585-9011,IN,46256,,39.9396569,-86.0238248
1759,"7019 Myra Way, Indianapolis",Shaquwell Johnson,Indianapolis,Personal Care Service Agency,A Blessed Soul Senior Care Llc,(317)658-1461,IN,46239,,39.7533641,-86.04632662543432
1760,3039 N Post Rd Suite 1381,Shenika Butler,Indianapolis,Personal Care Service Agency,A Butler's Heart Homecare Llc,(317)820-8303,IN,46226,,39.812067561049,-86.009661277162
1761,2115 Napa Cir,,Indianapolis,Personal Care Service Agency,A Call Away Homecare Llc,Tel: (317)384-9962,IN,46224,,39.7950706,-86.27607669375992
1762,2336 Riviera Place,Chelsea Schwartz,Greenwd,Personal Care Service Agency,A Caring Hand Home Care Llc,(317)642-3844,IN,46143,,39.621721761359,-86.055527078975
1763,18993 Stonebluff Lane,Julie Kramer,Noblesville,Personal Care Service Agency,A Caring Hand Llc,(317)797-2162,IN,46062,,40.063139777254946,-86.07994727735903
1764,2815 Hillside Avenue,Tanya Hatcher,Indianapolis,Personal Care Service Agency,A Caring Heart Home Care Llc,(866)258-2788,IN,46218,,39.807606250000006,-86.12367645026785
1765,6320 Rucker Road Suite K,Frankietta Mckenzie,Indianapolis,Personal Care Service Agency,A Caring Solution,(317)975-1183,IN,46220,,39.8707657,-86.0803964
1766,3336 Spring Wind Ln,Angela Jenkins,Indianapolis,Personal Care Service Agency,A Comfortable Time Loving Home Care Llc,(317)665-5164,IN,46239,,39.719957449999995,-86.02110581707974
1767,"9100 Purdue Road, Ste 203",Crussana Hill,Indianapolis,Personal Care Service Agency,A Day After Day Home Care Agency,(201)554-2273,IN,46268,,39.911707500000006,-86.21947700000001
1768,2426 E 55Th Pl,Sasha Odom,Indianapolis,Personal Care Service Agency,A Familiar Face Home Care Llc,(463)221-2605,IN,46220,,39.86164995,-86.12084898085473
1769,13492 Dewpoint Lane,Darria Nobles,Fishers,Personal Care Service Agency,A Family That Cares Home Care Co,(317)319-4243,IN,46037,,39.9850693,-85.9135845
1770,155 W 86Th Ave Ste B Rm A,Sonya Smith,Merrillville,Personal Care Service Agency,A Family That Cares Personal Care Cpr Classes Co,(219)750-9511,IN,46410,,41.462064148151356,-87.33742463044132
1771,5724 Green St 2Nd Floor,Cantrell Marcus,Brownsburg,Personal Care Service Agency,A Gentle Touch Personal Services Llc,(317)918-4355,IN,46112,,39.8469385,-86.3969764
1772,954 W 25Th Street,Kiana Bell,Indianapolis,Personal Care Service Agency,A Healing Touch At Home Llc,(317)496-8261,IN,46208,,39.8029985,-86.1771265
1773,5144 Yorkbend Ct,Jeanna Forney,Indianapolis,Personal Care Service Agency,A Heart 2 Home Llc,(317)370-2879,IN,46254,,39.8434489,-86.2492324962442
1774,1849 W Morris Street,Kiana Williams,Indianapolis,Personal Care Service Agency,A Heart Of Care Homecare Services Llc,(317)209-5336,IN,46221,,39.7508751,-86.1939277
1775,3310 Maxim Drive,Zonitra Brookshire,Fort Wayne,Personal Care Service Agency,A Heart Of Gold Home Care Services Llc,(260)363-7207,IN,46815,,41.107076500000005,-85.07277504943511
1776,7098 N Shadeland Ave Suite G,Ashley Carpenter,Indianapolis,Personal Care Service Agency,A Heart Of Gold Llc,(317)516-8152,IN,46220,,39.8915687,-86.0466393
1777,10255 Commerce Drive Suite 205,Valerie Love,Carmel,Personal Care Service Agency,A Heart Of Love Home Care Llc,(317)975-9805,IN,46032,,39.935048716921,-86.229422727319
1778,1425 Wellington Ave,Alexis Easler,Indianapolis,Personal Care Service Agency,A Heart To Give Home Care Llc,(317)200-5376,IN,46219,,39.786867799999996,-86.03130056260821
1780,3806 N Bolton Avenue,Keyuana Walker,Indianapolis,Personal Care Service Agency,A Heart To Hold,(317)489-1976,IN,46226,,39.82619875,-86.06759179005064
1781,2839 45Th Street,Lesley Miller,Highland,Personal Care Service Agency,"A Helper's Heart Home Care, Llc",(219)852-8600,IN,46322,,39.8085915,-86.2088575
1782,5809 Liberty Creek Dr East,Gina Cabell,Indianapolis,Personal Care Service Agency,A Helping Hand At Home Care Llc,(317)361-3072,IN,46254,,39.8585192,-86.25768314316502
1783,6201 La Pas Trail Suite 110,Ramatou Ismaila,Indianapolis,Personal Care Service Agency,A Home Care Near You Inc,(317)214-8128,IN,46268,,39.8683665,-86.23849354974189
1784,4084 Pendleton Way #133,Carla Howard,Indianapolis,Personal Care Service Agency,A Home Solution Llc,(317)513-7193,IN,46226,,39.8306085,-86.0373685
1785,"2607 Broadway Street, Unit #2",Ariane Coyle,Indianapolis,Personal Care Service Agency,"A Jewel Homecare, Inc",(317)758-8199,IN,46205,,40.8677645,-73.9210552
1786,1941 Riviera Street,Kennedy Carter,Indianapolis,Personal Care Service Agency,A Journey With Faith Llc,(317)730-6311,IN,46260,,39.870171400000004,-86.19526108492566
1787,2353 Lammermoor Cir,Jereana Miller,Indianapolis,Personal Care Service Agency,A Joyful Life Home Care Llc,(317)554-7304,IN,46214,,39.797824387745386,-86.30368879110722
1788,23 Motif Blvd Suite 201,Jonois Fox,Brownsburg,Personal Care Service Agency,A Joyous Kare,(317)742-4232,IN,46112,,39.85231976381,-86.394215800922
1789,2934 Olney Street,Victoria Washington,Indianapolis,Personal Care Service Agency,A Karing Place Homecare,(317)478-3224,IN,46218,,39.80954645,-86.10752160087753
1790,11216 Fall Creek Road Ste 202,Kimyatta Anderson,Indianapolis,Personal Care Service Agency,A Legacy Of Love Homecare Llc,(317)281-0879,IN,46256,,39.93487315,-85.95036017395273
1791,781 Kingston Circle,Latanza Jenkins,Brownsburg,Personal Care Service Agency,A Lending Hand Home Care Llc,(317)514-7718,IN,46112,,39.8591305,-86.3839234
1792,2631 Andy Drive,Kylie Cobb,Indianapolis,Personal Care Service Agency,A Life Savor Personal Care Services Llc,(317)437-5116,IN,46229,,39.8062747,-86.00192316564029
1793,2756 Baltimore Avenue,Cherrell Watkins,Indianapolis,Personal Care Service Agency,A Lifesaversplace Llc,(317)701-0077,IN,46218,,39.8067253,-86.12661059999999
1794,3904 Planewood Drive,Clara Davis,Indianapolis,Personal Care Service Agency,A Light Of Life Homecare Llc,(317)983-9113,IN,46235,,39.8285054,-85.9624250525701
1795,1631 W 5Th Street,Alexandra Young,Marion,Personal Care Service Agency,A Little Care From Alex Llc,(765)618-4134,IN,46953,,40.5567554,-85.6797924
1796,9043 Mercury Drive,Sheila Caperton,Cumberland,Personal Care Service Agency,A Little Dash Of Love Home Care Llc,(317)200-5764,IN,46229,,39.808202,-86.0077188139024
1797,6802 Antelope Blvd,Jazmine Mcknight,Indianapolis,Personal Care Service Agency,A Loving Touch Home Care Agency Llc,(317)506-9054,IN,46278,,39.8762559,-86.28081269051332
1798,10134 Falls Canyon Lane,Tempest Martin,Indianapolis,Personal Care Service Agency,A Loving Way Home Care Services Llc,(317)955-5698,IN,46229,,39.7639741,-85.98623827406013
1799,8147 Chesterhill Ln,Damiya Driver,Indianapolis,Personal Care Service Agency,A Miracle Homecare Llc,(317)777-9681,IN,46239,,39.74161065,-86.02286547109826
1800,2835 Wolfgang Way,Latoya Smith,Indianapolis,Personal Care Service Agency,A Miracle In Care Personal Services Llc,(317)384-5032,IN,46239,,39.728664550000005,-86.02527829102024
1801,9511 Angola Ct Suite 231,Deandra Dycus,Indianapolis,Personal Care Service Agency,A Mothers Promise Home Care Services Llc,(463)201-9249,IN,46268,,39.925088547447,-86.223684211611
1802,"3815 River Crossing Parkway, Ste 100",Latasha Day,Indianapolis,Personal Care Service Agency,A New Day Homecare Services Llc,(463)400-7416,IN,46240,,39.9172997,-86.1015726
1803,11340 Dunshire Drive,Kendra Mcnary,Indianapolis,Personal Care Service Agency,A Noble Touch Homecare Llc,(317)798-4316,IN,46229,,39.779190099999994,-85.9638334520009
1804,"4701 N Keystone Ave, Ste 502",Tamela Acee,Indianapolis,Personal Care Service Agency,A Passionate Helping Hand Llc,(317)315-5020,IN,46229,,39.8417239,-86.1212861
1805,2005 N Bosart Avenue,India Wilson,Indianapolis,Personal Care Service Agency,A Peace Of Serenity Llc,(463)280-7300,IN,46218,,39.794602999999995,-86.09023330498636
1806,7350 Tappan Dr,Sheisha Hayes,Indianapolis,Personal Care Service Agency,A Peaceful Place Homecare Llc,(317)717-0452,IN,46268,,39.8872609,-86.22624444293014
1807,5423 East 38Th Street,Dimitriy Papkov,Indianapolis,Personal Care Service Agency,A Plus Home Care Inc,(317)672-1251,IN,46218,,39.7812846,-86.0758481
1808,4909 E 42Nd Street,Felicia Washington,Indianapolis,Personal Care Service Agency,A Plush Helping Hands Llc,(317)760-2534,IN,46226,,39.83266385,-86.08735119793383
1809,3628 Sherman Drive,Auja Beech,Indianapolis,Personal Care Service Agency,A Quality Helping Hand Personal Services Agency,(317)438-2948,IN,46218,,39.82275275000001,-86.1033499116004
1810,9636 Piper Lake Drive,Shaleea Mason,Indianapolis,Personal Care Service Agency,"A Radiance Homecare, Llc",(317)640-5072,IN,46239,,39.75706725,-85.9968135314435
1811,8070 Castleton Road    Suite 122,Kenae Jumper,Indianapolis,Personal Care Service Agency,A Ray Of Sunshine Home Care Llc,(317)690-0977,IN,46250,,39.90218870947,-86.050752583646
1812,10241 Parkvalley Drive,Tierra Robinson,Indianapolis,Personal Care Service Agency,A Remarkable Love Homecare Llc,(463)206-5953,IN,46229,,39.78987349887,-85.985248201483
1813,736 Sunridge Court,Alison Mcallister,Indianapolis,Personal Care Service Agency,A Right On Time Homecare Llc,(317)332-2021,IN,46239,,39.75909285,-85.97281859322577
1814,8770 Purdue Road,Victoria Washington,Indianapolis,Personal Care Service Agency,A Safe Haven Homecare Llc,(317)478-3224,IN,46268,,39.9144297,-86.219792
1815,8910 Purdue Rd Ste 215,Tiffany Madden,Indianapolis,Personal Care Service Agency,A Safe Haven Homecare Services Llc,(317)426-1727,IN,46268,,39.9169502,-86.22173347911301
1816,6339 E 52Nd Place,Tamika Burl-Brewer,Indianapolis,Personal Care Service Agency,A Shining Star Services Llc,(317)366-6453,IN,46226,,39.84787405,-86.0578141115022
1817,1938 Houston Street,Jerri Graves,Indianapolis,Personal Care Service Agency,A Shoulder To Lean On Home Care Services Llc,(317)552-3341,IN,46218,,39.793547,-86.1096945
1818,2324 Barnor Drive,Chanel Willard,Indianapolis,Personal Care Service Agency,"A Soul Of Compassion Home Care, Llc",(317)772-1400,IN,46219,,39.8003321,-86.06050334012005
1819,1111 E 54Th Street Ste 211,Cathy Bullock,Indianapolis,Personal Care Service Agency,A Source Of Life Home Care Llc,(317)490-5526,IN,46220,,39.850487,-86.13907707173405
1820,803 Treyburn Lakes Way,Asya Barnett,Indianapolis,Personal Care Service Agency,A Step Ahead Personal Care Llc,(317)681-2689,IN,46239,,39.75883035,-85.99399774599607
1821,2826 W 83Rd Ave,Kameron Clardy,Merrillville,Personal Care Service Agency,A Step Further Home Care Services Llc,(219)614-9691,IN,46410,,41.102331,-85.11077
1822,5102 Angelique Drive,Crussana Hill,Indianapolis,Personal Care Service Agency,A Supportive Care Of Indy Llc,(317)629-2235,IN,46254,,39.844875900000005,-86.25011999240772
1823,10262 Toll House Way,Deanna Monroe,Fishers,Personal Care Service Agency,A Survivors Mission Llc,(317)801-3644,IN,46037,,39.96717567752504,-85.98470598695745
1824,3421 Station Street,James Andrews,Indianapolis,Personal Care Service Agency,A Total New Beginning Home Care Llc,(317)440-1536,IN,46218,,39.8189445,-86.1039433
1825,5164 E 81St Ave Suite 1028,Zena Alleyne,Merrillville,Personal Care Service Agency,A Totality Of Care Inc,(219)898-4700,IN,46410,,41.471164356741,-87.273219077138
1826,4222 W 47Th Street,Catisha Hamilton,Indianapolis,Personal Care Service Agency,A Touch Of Home Llc,(317)354-9449,IN,46254,,39.84036625,-86.23181034053843
1827,4030 S Meridian St,Megan Dedeic,Indianapolis,Personal Care Service Agency,A Touch Of Kindness Home Care Llc,(317)995-5345,IN,46217,,39.846605,-86.1489126
1828,5211 Hidden Ridge Ct,Kimberely Hill,Indianapolis,Personal Care Service Agency,A Touch Of Patience Home Care Llc,(317)406-1372,IN,46221,,39.67158825,-86.24946528031779
1829,2640 Guilford Ave,Annaleshia Kelley,Indianapolis,Personal Care Service Agency,A Touch With Care Llc,(877)395-9777,IN,46205,,39.80524255,-86.14692411193181
1830,5728 S Emerson Ave,Rianna Slaughter,Indianapolis,Personal Care Service Agency,A Touch With Love Llc,(317)200-9642,IN,46237,,39.6843563,-86.08370464969539
1831,5336 Daniel Dr,Quincy Harper,Indianapolis,Personal Care Service Agency,A Turning Pointe Care Solutions Llc,(317)643-1058,IN,46226,,39.850599200000005,-86.06122765980805
1832,5724 Green St Suite 247,U'Kneec Williams,Brownsburg,Personal Care Service Agency,A U'Kneec Home Care Llc,(317)331-2711,IN,46112,,39.8469385,-86.3969764
1833,2810 Barbary Lane Unit K,Jewel Sistrunk,Indianapolis,Personal Care Service Agency,"A Village Of Caring Hearts Home Care, Llc",(574)340-6045,IN,46205,,39.844145,-86.1168397
1834,1564 N Downey Ave,Nachelle Moore,Indianapolis,Personal Care Service Agency,A Village Of Love Homecare Llc,(317)600-6839,IN,46219,,39.7884187,-86.0782406
1835,3492 Woodfront Court,Theresa Graham,Indianapolis,Personal Care Service Agency,A Whole Lot Of Love Home Care Llc,(317)985-6134,IN,46222,,39.8186272,-86.2175971
1836,102 Leeds Ave,Jasmine Mcferson,Michigan City,Personal Care Service Agency,A Willing Hand,(219)951-2730,IN,46360,,41.70219484575269,-86.83809031375753
1837,10755 Jimmy Lake Drive,Brandy Byrd,Indianapolis,Personal Care Service Agency,A Wish Come True Home Care Llc,(317)777-5665,IN,46239,,,
1838,221 Switchgrass Lane,La Tone Thomas,New Whiteland,Personal Care Service Agency,A&L Home Cares Services Llc,(260)508-9345,IN,46184,,39.6162869,-86.19329376773743
1839,2346 S. Lynhurst Dr Suite 407 D,Michelle Hurns,Indianapolis,Personal Care Service Agency,A&M Home Care Services Llc,(317)769-8391,IN,46241,,39.7331719,-86.2516416
1840,8189 E 21St St Suite E,Natyoa Douglas,Indianapolis,Personal Care Service Agency,A'Zairah Gifted Touch Home Care And More Llc,(317)270-7029,IN,46219,,39.7971575,-86.02153271288707
1841,7002 N Graham Road Suite 222,Michelle Williams,Indianapolis,Personal Care Service Agency,A-1 Personal Services Agency,(317)202-9400,IN,46220,,39.882082859512,-86.069800867866
1842,5610 Crawfordsville Rd Suite 912,Gloria Mcgregor,Indianapolis,Personal Care Service Agency,A1 Bringing Glory Home Services Llc,(317)757-6004,IN,46224,,39.794181504873,-86.256765325616
1843,2911 North Oakwood Ave Unit B,Daniel Morris,Muncie,Personal Care Service Agency,Aaa Advantage Home Care Inc,(219)271-8611,IN,47304,,40.22637764060503,-85.40883911565261
1844,"3901 West 86Th St, Ste 125",Olabyi Oba Chabi,Indianapolis,Personal Care Service Agency,Aaa Home Care Inc,(317)279-6025,IN,46268,,39.910821150000004,-86.22745709640805
1845,6919 E 10Th St Ste B-2,Felicia Warfield,Indianapolis,Personal Care Service Agency,Aasim Home Care Llc,(317)353-6778,IN,46219,,39.78085145,-86.04754260346051
1846,5475 Broadway,Britney Bynum,Merrillville,Personal Care Service Agency,Ab Home Care Llc,(800)318-2900,IN,46410,,41.50888774990725,-87.33604673436577
1847,3815 River Crossing Pkwy Suite 123,Britton Bianca,Indianapolis,Personal Care Service Agency,Aba N Play Homecare,(317)797-9379,IN,46240,,39.915562026587,-86.099267255284
1848,9102 N Meridian St Ste 555,Joel Richardson,Indianapolis,Personal Care Service Agency,Abby Care,(463)230-8678,IN,46260,,39.9204255,-86.15863925091617
1849,5555 North Tacoma Avenue Suite 008,Abdirahim Hussein,Indianapolis,Personal Care Service Agency,"Abc At Home Care, Llc",(317)973-4103,IN,46220,,39.853335,-86.12023169077978
1850,3960 Southeastern Ave,Jacqueline Edwards,Indianapolis,Personal Care Service Agency,Abc Community Services Llc,(317)978-2033,IN,46203,,39.75223415,-86.09640160698702
1851,"9501 Indianapolis Blvd, Suite C-2",Eme Udoetuk,Highland,Personal Care Service Agency,Abc Homecare Services Inc,(219)301-2520,IN,46322,,39.7963354,-85.9995037
1852,3900 Concord Point Way,Ademola Mogajia,Brownsburg,Personal Care Service Agency,Able Care Services Llc,(317)457-2841,IN,46112,,39.81925135597157,-86.36708000543956
1853,7834 Lofton Court,Towmara Butler,Indianapolis,Personal Care Service Agency,Able Guardians Llc,(317)446-6884,IN,46239,,39.7449275,-86.0285484703015
1854,3236 Ashway Drive,Dominique Harden,Indianapolis,Personal Care Service Agency,Ablessing Home Care Services Llc,(317)490-7507,IN,46224,,39.8136392,-86.26899934481554
1855,"7870 Broadway, Suite H",Kola Jeffries-Cooper,Merrillville,Personal Care Service Agency,Abode Homecare Llc,(219)472-8944,IN,46410,,41.510326199999994,-87.33105199683024
1856,3250 N Post Road Ste 140,Precious Whiteside,Indianapolis,Personal Care Service Agency,Above & Beyond Homecare Services Llc,(317)618-2090,IN,46226,,39.8163285,-86.02747333034321
1857,1602 N Irvington Ave,Ladara Brewster,Indianapolis,Personal Care Service Agency,"Above And Beyond Care, Llc",(317)664-0217,IN,46218,,39.7693173,-86.0522172
1858,8124 E 37Th Place,Quintez Thomas,Indianapolis,Personal Care Service Agency,Above And Beyond Home Care Service Llc,(317)419-2016,IN,46226,,39.82552785,-86.02440624874097
1859,7426 Hillway Drive,Taisha Nelson,Camby,Personal Care Service Agency,Above And Beyond Llc,(317)294-9797,IN,46113,,39.65102787791687,-86.30574861380005
1860,2456 Summerwood Ln,Denicka Thomas,Greenwood,Personal Care Service Agency,Above And Beyond Quality Care Llc,(765)398-1212,IN,46143,,39.5812667,-86.1065302
