INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,ADMINISTRATOR,PHONE,OWNER
1592,Behavioral Health Services Org.,Us Family Care Psychiatry,"120 North Eagle Creek Drive, Suite 102",Lexington,KY,40509,Jason Underwood,(502)468-7608,"Us Family Care Psychiatry, Pllc"
1593,Behavioral Health Services Org.,Uspiritus Outpatient Services,2143 Goldsmith Lane,Louisville,KY,40218,Chris Teeley,(502)451-5177,"Uspiritus, Inc."
1594,Behavioral Health Services Org.,"Vbh Kentucky, Inc",1736 Alexandria Drive #230,Lexington,KY,40504,Amanda Daniels,(859)629-0009,"Vital Behavioral Health Inc., A Nevada Corp"
1595,Behavioral Health Services Org.,Victory House Transitional Living,561 Breckenridge Street,Lexington,KY,40508,Kelsey Black,(859)556-8402,"Victory House, Llc"
1596,Behavioral Health Services Org.,"Wellspring, Inc",225  West Breckinridge Street,Louisville,KY,40203,Katharine Dobbins,(502)637-4361,"Wellspring, Inc."
1597,Behavioral Health Services Org.,Yonder Behavioral Health,330 Walnut Creek Drive,Berea,KY,40403,Sarah Campbell,(561)231-3357,"Yonder Behavioral Health, Llc"
1598,Behavioral Health Services Org.,"Yourpath, Inc","71 Cavalier Blvd, Suite 206",Florence,KY,41042,Jeffrey Larson,(612)895-7860,
1599,Cd Treatment & Facility Specs,Recovery Works,3107 Cincinnati Road,Georgetown,KY,40324,Shannon Bailey,(502)570-9313,"Pinnacle Treatment Centers Ky - I, Llc"
1600,Nursing Home,Franciscan Health Care Center,3625 Fern Valley Road,Louisville,KY,40219,,(502)964-3381,
1601,Community Mental Health Centers- Lic Only,"New Vista Of The Bluegrass, Inc ",1351 Newtown Pike Bldg 1,Lexington,KY,40511,Dee Werline,(859)253-1686,"New Vista Of The Bluegrass, Inc."
1602,Community Mental Health Centers- Lic Only,Northkey Community Care,503 Farrell Drive,Covington,KY,41012,Danielle Amrine,(859)578-3252,"Northern Ky Mh/Mr Regional Board, Inc."
1603,Long Term Care,Stonecroft Health Campus,363 South Fieldstone Blvd,Bloomington,IN,47403,Dawn Black,(812)825-0551,
1604,Non Freestanding Residential Care,Stonecroft Health Campus,363 South Fieldstone Blvd,Bloomington,IN,47403,Dawn Black,(812)825-0551,
1605,End Stage Renal Disease Facilities,12Th Street Covington Dialysis,"1500 James Simpson Jr Way, Suite 1100",Covington,KY,41011,Wendy Woodgeard,(859)261-4345,"Bluegrass Dialysis, Llc"
1606,End Stage Renal Disease Facilities,"American Home Dialysis, Llc",721 Preston Street,Louisville,KY,40203,Jai Bhimani,(502)584-3338,"American Home Dialysis, Llc"
1607,End Stage Renal Disease Facilities,American Kidney Center Browns Lane,4114 Browns Lane ,Louisville,KY,40220,Shannon Herl,(502)583-1799,"American Kidney Center Holdings, Llc"
1608,End Stage Renal Disease Facilities,American Kidney Center-Greenwood Rd,4604 Greenwood Rd,Louisville,KY,40258,Shannon Herl,(502)583-1799,"American Kidney Center Holdings, Llc"
1609,End Stage Renal Disease Facilities,Bardstown Dialysis Center,210 W John Fitch Avenue,Bardstown,KY,40004,Theresa Huddleston,(502)350-1130,"Central Kentucky Dialysis Centers, Llc"
1610,End Stage Renal Disease Facilities,Barren County Dialysis,310 N L Rogers Wells Boulevard,Glasgow,KY,42141,Dina Meyers,(270)659-5580,Total Renal Care Inc.
1611,End Stage Renal Disease Facilities,Bma Of Central Richmond,"1036 Center Drive, Suite C",Richmond,KY,40475,Tana Black,(859)623-6040,"Bio Medical Applications Of Kentucky, Inc."
1612,End Stage Renal Disease Facilities,Bma Of East Louisville,6455 Bardstown Road,Louisville,KY,40291,Michael Shepherd,(502)239-8221,"Bio-Medical Applications Of Kentucky, Inc."
1613,End Stage Renal Disease Facilities,Bma Of Louisville,720 East Broadway,Louisville,KY,40202,Paula Rhoten,(502)584-3021,"Bma Of Kentucky, Inc."
1614,End Stage Renal Disease Facilities,Bma Of Shelbyville,150 Stonecrest Road,Shelbyville,KY,40065,Paula Arterburn,(502)633-6333,"Bma Of Kentucky, Inc."
1615,End Stage Renal Disease Facilities,Bma Of Suburban,3991 Dutchmans Lane Suite G-02,Louisville,KY,40207,Paula Arterburn,(502)895-2217,"Bma Of Kentucky, Inc."
1616,End Stage Renal Disease Facilities,Bourbon County Dialysis,213 Letton Drive,Paris,KY,40361,Eric Smith,(859)988-1117,"Total Renal Care, Inc."
1617,End Stage Renal Disease Facilities,Cold Spring Dialysis,430 Crossroads Drive,Cold Spring,KY,41076,Mallory Homsby,(859)441-3981,"River Valley Dialysis, Llc"
1618,End Stage Renal Disease Facilities,Crestview Hills Dialysis,400 Centre View Boulevard,Crestview Hills,KY,41017,Micah Gaunt,(859)341-5561,"Dva Renal Healthcare, Inc."
1619,End Stage Renal Disease Facilities,Dialysis Clinic Inc,1038 Burlington Lane,Frankfort,KY,40601,Lisa Allgood,(502)223-5918,"Dialysis Clinic, Inc."
1620,End Stage Renal Disease Facilities,Dialysis Clinic Inc Home Therapy Services,150 War Admiral Ste 4,Danville,KY,40422,Lisa Allgood,(859)236-9995,Dialysis Clinic Inc
1621,End Stage Renal Disease Facilities,"Dialysis Clinic, Inc",2374 Professional Heights Drive,Lexington,KY,40503,Lisa Allgood,(859)278-0357,"Dialysis Clinic, Inc."
1622,End Stage Renal Disease Facilities,"Dialysis Clinic, Inc",475 Whirlaway Drive,Danville,KY,40422,Lisa Allgood,(859)236-5982,"Dialysis Clinic, Inc."
1623,End Stage Renal Disease Facilities,"Dialysis Clinic, Inc",100 Venture Court,Lexington,KY,40511,Lisa Allgood,(859)252-7712,"Dialysis Clinic, Inc."
1624,End Stage Renal Disease Facilities,"Dialysis Clinic, Inc","100 Keystone Drive, Suite E",Richmond,KY,40475,Lisa Allgood,(859)625-0939,"Dialysis Clinic, Inc."
1625,End Stage Renal Disease Facilities,Dialysis Of Central Kentucky,2807 Ring Road,Elizabethtown,KY,42701,Debra Hall,(270)735-1883,"Central Kentucky Dialysis Centers, Llc"
1626,End Stage Renal Disease Facilities,"Dialyze Direct Ky, Llc",9780 Ormsby Station Rd Ste 1200,Louisville,KY,40223,Alice Hellebrand,(502)688-7712,"Dialyze Holdings, Llc"
1627,End Stage Renal Disease Facilities,Fmc Dialysis Services Of Audubon,"2355 Poplar Level Road, G2-10",Louisville,KY,40217,Paula Rhoten,(502)637-1771,"Bio-Medical Applicaitons Of Ky, Inc."
1628,End Stage Renal Disease Facilities,Fmc Dialysis Services Of Danville,100 Woodlawn Way,Danville,KY,40422,Tana Black,(859)755-4757,Bio Medical Applications Of Ky Inc
1629,End Stage Renal Disease Facilities,Fmc Dialysis Svcs Mt Sterling,55 Sterling Way,Mount Sterling,KY,40353,Beth Bricken,(859)499-0630,"Bio-Medical Applications Of Ky, Inc."
1630,End Stage Renal Disease Facilities,Fmc-Nicholasville,115 Orchard Place Drive,Nicholasville,KY,40356,Beth Bricken,(859)881-0332,"Bio-Medical Applications Of Ky, Inc."
1631,End Stage Renal Disease Facilities,Fresenius Kidney Care - Lexington Southwest,978 Chas Drive,Lexington,KY,40515,Beth Bricken,(859)227-5672,"Bio-Medical Applications Of Kentucky, Inc."
1632,End Stage Renal Disease Facilities,Fresenius Kidney Care Kentuckiana Home Therapies,"950 Breckenridge Lane, Suite 50",Louisville,KY,40207,Paula Rhoten,(502)895-7650,"Fresenius Medical Care Holdings, Inc."
1633,End Stage Renal Disease Facilities,Fresenius Kidney Care Stanford,29 Frontier Boulevard,Stanford,KY,40484,Tana Black,(606)365-4004,"Fresunius Medical Care Stanford, Llc"
1634,End Stage Renal Disease Facilities,Fresenius Kidney Care Watterson,4730 Champions Trace Ln,Louisville,KY,40218,Kristin Johnson,(502)347-2570,"Bio-Medical Applications Of Kentucky, Inc."
1635,End Stage Renal Disease Facilities,Fresenius Medical Care Boone County,7205 Dixie Highway,Florence,KY,41042,Ronda Opalka,(859)525-1060,"Fresenius Medical Care Boone County, Llc"
1636,End Stage Renal Disease Facilities,Fresenius Medical Care Glasgow,205 Professional Park Drive,Glasgow,KY,42141,Allison Thomas,(270)651-7776,"Bio-Medical Applications Of Kentucky, Inc."
1637,End Stage Renal Disease Facilities,Fresenius Medical Care Lebanon Marion County,"703 East Main Street, Suite 2",Lebanon,KY,40033,Paula Arterburn,(270)692-1558,"Fresenius Medical Care Nak Lebanon, Llc"
1638,End Stage Renal Disease Facilities,"Fresenius Medical Care Nak Berea, Llc",509 Richmond Road North,Berea,KY,40403,Tana Black,(859)985-8112,"Fresenius Medical Care Nak Berea, Llc"
1639,End Stage Renal Disease Facilities,"Fresenius Medical Care Nak Frankfort, Llc",608 Chamberlin Avenue,Frankfort,KY,40601,Beth Bricken,(502)607-0731,"Fresenius Medical Care Nak Frankfort, Llc"
1640,End Stage Renal Disease Facilities,Fresenius Medical Care Nalco Home Program,"3284 Eagleview Lane, Ste120",Lexington,KY,40509,Beth Bricken,(859)299-3379,Fresenius Medical Care North America
1641,End Stage Renal Disease Facilities,Fresenius Medical Care North East Louisville,3701 Chamberlain Lane,Louisville,KY,40241,Michael Shepard,(502)361-1914,"Bma Of Kentucky, Inc."
1642,End Stage Renal Disease Facilities,Fresenius Medical Care North Hardin,211 East Lincoln Trail Boulevard,Radcliff,KY,40160,Paula Arterburn,(270)352-2555,"Fresenius Kidney Care Nak North Hardin, Llc"
1643,End Stage Renal Disease Facilities,Fresenius Medical Care Of Hardin County,"1324 Woodland Drive, Suite B",Elizabethtown,KY,42701,Paula Arterburn,(270)763-0396,"Fresenius Medical Care Nak Elizabethtown, Llc"
1644,End Stage Renal Disease Facilities,Fresenius Medical Care Rockford Lane,9616 Dixie Highway,Louisville,KY,40272,Paula Arterburn,(502)937-2996,"Bma Of Kentucky, Inc."
1645,End Stage Renal Disease Facilities,Fresenius Medical Care Shepherdsville,421 Adam Shepherd Parkway Suite 102,Shepherdsville,KY,40165,Paula Arterburn,(502)921-0977,"Fresenius Medical Care Nak Shepherdsville, Llc"
1646,End Stage Renal Disease Facilities,Fresenius Medical Care South Central Louisville,"8319 Preston Highway, Suite C",Louisville,KY,40219,Michael Shepherd,(502)968-2225,Bma Of Kentucky Inc
1647,End Stage Renal Disease Facilities,Fresenius Medical Care South Louisville,1514 Crums Lane,Louisville,KY,40216,Michael Shepherd,(502)361-1914,"Bio-Medical Applications Of Kentucky, Inc."
1648,End Stage Renal Disease Facilities,Fresenius Medical Care-Winchester,1145 West Lexington Avenue,Winchester,KY,40391,Beth Bricken,(859)744-0750,"Bio Medical Applications Of Kentucky, Inc."
1649,End Stage Renal Disease Facilities,General Butler Dialysis,329 Floyd Drive Suite B,Carrollton,KY,41008,Angie Handlon,(502)732-4713,"Caddo Dialysis, Llc"
1650,End Stage Renal Disease Facilities,Georgetown Dialysis Clinic,98 Mary Lynn Drive,Georgetown,KY,40324,Beth Bricken,(502)867-3855,"Nra-Georgetown, Kentucky, Llc"
1651,End Stage Renal Disease Facilities,Hamburg Dialysis,1745 Alysheba Way,Lexington,KY,40509,Debra Hall,(859)543-0084,"Total Renal Care, Inc."
1652,End Stage Renal Disease Facilities,Kentucky Renal Care Group Lexington North,1610 Leestown Road,Lexington,KY,40511,Beth Bricken,(859)254-0671,"Kentucky Renal Care Group, Llc"
1653,End Stage Renal Disease Facilities,Kentucky Wildcat Speciality Dialysis ,"2130 Nicholasville Road, Suite #5",Lexington,KY,40503,Priya Shastri,(859)277-9911,"Total Renal Care, Inc."
1654,End Stage Renal Disease Facilities,Lagrange Dialysis,240 Parker Drive,La Grange,KY,40031,Debra Hall,(502)222-5527,"New Bay Dialysis, Llc"
1655,End Stage Renal Disease Facilities,Leitchfield Dialysis,"912 Wallace Avenue, Suite 106",Leitchfield,KY,42754,Ashley Napier,(270)230-0163,"Renal Life Link, Inc."
1656,End Stage Renal Disease Facilities,Licking River Home Training,140 Plaza Drive,Cold Spring,KY,41076,Wendy Woodgeard,(859)993-0244,"Total Renal Care, Inc"
1657,End Stage Renal Disease Facilities,Louisville Dialysis,8037 Dixie Highway,Louisville,KY,40258,Debra Hall,(502)937-9111,"New Springs Dialysis, Llc"
1658,Outpatient Physical Therapy,Legacy Healthcare Services Inc,3660 Central Avenue,Columbus,IN,47203,,,
1659,End Stage Renal Disease Facilities,Owensboro Dialysis Center,1930 East Parrish Avenue,Owensboro,KY,42303,Janet Goetz,(270)926-0120,"Renal Treatment Centers-Illinois, Inc."
1660,End Stage Renal Disease Facilities,"(D) Park Terrace Dialysis, Llc","9700 Stonestreet Road, Suite B",Louisville,KY,40272,Stacie Bolton,(502)678-4690,"Park Terrace Dialysis, Llc"
1661,End Stage Renal Disease Facilities,Preston Highway Dialysis,5801 Preston Hwy,Louisville,KY,40219,Debra Hall,(502)308-3453,"Farnolle Dialysis, Llc"
1662,End Stage Renal Disease Facilities,"Pure Life Renal Of Louisville, Llc",3935 Taylorsville Rd,Louisville,KY,40220,Michael Parlier,(502)650-8582,"Pure Life Reanl Of Louisville, Llc"
1663,End Stage Renal Disease Facilities,Radcliff Dialysis,180 East Lincoln Trail Boulevard,Radcliff,KY,40160,Amanda Jones,(270)352-2252,"Central Kentucky Dialysis Centers, Llc"
1664,End Stage Renal Disease Facilities,Renal Care Group-Lexington South,"171 North Eagle Creek Dr, Ste110",Lexington,KY,40505,Beth Bricken,(859)264-7775,"Rcg University Divisions, Inc"
1665,End Stage Renal Disease Facilities,Shelby County Dialysis,50 Church View Street,Shelbyville,KY,40065,Debra Hall,(502)647-0127,"Saguaro Dialysis, Llc"
1666,End Stage Renal Disease Facilities,Shelbyville Road Dialysis,"4600 Shelbyville Road, Suite 310",Louisville,KY,40207,Angie Handlon,(502)893-4791,"Sugarite Dialysis, Llc"
1667,End Stage Renal Disease Facilities,Springhurst Dialysis Center,10201 Champion Farms Drive,Louisville,KY,40241,Debra Hall,(502)425-2131,"Renal Life Link, Inc."
1668,End Stage Renal Disease Facilities,Taylor County Dialysis Center,1595 Old Lebanon Road,Campbellsville,KY,42718,Teresa Huddleston,(270)465-0787,"Total Renal Care, Inc."
1669,End Stage Renal Disease Facilities,(D) Trilogy Dialysis- Franciscan,1252 Forest Drive,Louisville,KY,40219,Daisy Williams,(502)495-4600,"Franciscan Dialysis, Llc"
1670,End Stage Renal Disease Facilities,Turfway  Dialysis,"11  Spiral Drive, Suite 15",Florence,KY,41042,Amberly Hertsenberg,(859)371-1263,"River Valley Dialysis, Llc"
1671,End Stage Renal Disease Facilities,Turfway Pd Training,"11 Spiral Drive, Suite 15 A",Florence,KY,41042,Wendy Woodgeard,(859)647-2802,"Ohio River Dialysis, Llc"
1672,End Stage Renal Disease Facilities,"University Kidney Center Bluegrass, Llc","1935 Bluegrass Avenue, Suite 100",Louisville,KY,40215,Zygimantas Alsauskas,(502)368-5843,"University Kidney Center Bluegrass, Llc"
1673,End Stage Renal Disease Facilities,"University Kidney Center Broadway, Llc",2821 West Broadway,Louisville,KY,40211,Leah Gray,(502)774-8516,"University Kidney Center Broadway, Llc"
1674,End Stage Renal Disease Facilities,"University Kidney Center Hikes Lane, Llc",2271 Hikes Lane,Louisville,KY,40218,Nina Vasavada,(502)459-5786,"University Kidney Center Hikes Lane, Llc"
1675,Personal Care Service Agency,Homewell Care Services,3660 Central Avenue,Columbus,IN,47203,Mason Rister,(859)303-6018,
1676,End Stage Renal Disease Facilities,University Of Louisville Dialysis Center,614 East Chestnut Street,Louisville,KY,40202,Eric Loy,(502)589-5997,"University Kidney Center, Llc"
1677,End Stage Renal Disease Facilities,Walton Dialysis,13250 Service Road,Walton,KY,41094,Priya Shastri,(859)485-0321,Hooper Dialysis
1678,End Stage Renal Disease Facilities,West Broadway Dialysis,720 West Broadway,Louisville,KY,40202,Debra Hall,(502)584-2059,"New Bay Dialysis, Llc"
1679,End Stage Renal Disease Facilities,Williamstown Dialysis,"103 Barnes Road, Suite A",Williamstown,KY,41097,Wendy Woodgeard,(859)823-0500,"Bluegrass Dialysis, Llc"
1680,End Stage Renal Disease Facilities,Kentucky State Reformatory,3001 West Highway 146,Lagrange,KY,40032,Erica Watt,(502)222-9441,Department Of Corrections
1681,Freestanding Or Mobile Technology,Aptiva Health Imaging,426 Codell Drive,Lexington,KY,40509,Thomas Huhn,(502)909-0772,"Aptiva Health Imaging, Llc"
1682,Freestanding Or Mobile Technology,"Aptiva Health Imaging, Llc","3615 Newburg Road, Suite 106",Louisville,KY,40218,Marty Hornback,(502)387-1466,"Aptiva Health Imaging, Llc"
1683,Freestanding Or Mobile Technology,Arh Mobile Mri Service,2260 Executive Drive,Lexington,KY,40505,Hollie Harris,(859)226-2440,"Appalachian Regional Healthcare, Inc."
1684,Freestanding Or Mobile Technology,Baptist Eastpoint Radiation Oncology,2701 Eastpoint Parkway,Louisville,KY,40223,Billy Cheser,(502)928-5323,Baptist Health Care Systems. Inc.
1685,Freestanding Or Mobile Technology,Baptist Health Bodyscan A Service Of Baptist Healt,4003 Kresge Way,Louisville,KY,40207,Keri Leamy,(502)412-2725,"Baptist Healthcare System, Inc."
1686,Freestanding Or Mobile Technology,Baptist Health Diagnostics,2409 Ring Road Suite 114,Elizabethtown,KY,42701,Bert Jones,(270)982-3344,"Baptist Healthcare System, Inc."
1687,Freestanding Or Mobile Technology,Baptist Health Diagnostics,100 Commerce Drive,Brandenburg,KY,40108,Bert Jones,(270)422-1222,"Baptist Healthcare System, Inc."
1688,Freestanding Or Mobile Technology,Baptist Health Eastpoint Mri A Service Of Baptist ,2400 Eastpoint Parkway 1St Floor,Louisville,KY,40223,Keri Leamy,(502)896-7423,Baptist Healthcare System
1689,Long Term Care,Azalea Hills,3700 Lafayette Pkwy,Floyds Knobs,IN,47119,Melissa Prenatt,(812)923-4888,
1690,Freestanding Or Mobile Technology,Baptist Health Imaging A Service Of Baptist Health,12010 Shelbyville Rd,Louisville,KY,40243,Keri Leamy,(502)896-7423,Baptist Healthcare System
1691,Freestanding Or Mobile Technology,Bluegrass Radiation Oncology Center,#2 Physicans Park Dr,Frankfort,KY,40601,Tammy Thomas,(502)223-3551,"Genesiscare Usa Of Kentucky, Llc"
1692,Freestanding Or Mobile Technology,Bluegrass Regional Imaging Llc,701 Bob O'Link Drive,Lexington,KY,40504,Christopher Reed,(859)313-1613,St Joseph Hospital
1693,Freestanding Or Mobile Technology,Caterra Health System,811 South 2Nd Street,Louisville,KY,40203,Mark Barrett,(502)409-4174,
1694,Freestanding Or Mobile Technology,Chi Saint Joseph Health Imaging,211 Fountain Court,Lexington,KY,40509,Adam Gossom,(859)313-3476,"Saint Joseph Health System, Inc."
1695,Freestanding Or Mobile Technology,Danville Radiation Therapy Center,"520 Techwood Drive, Suite 200",Danville,KY,40422,Gregory Carlson,(859)236-9819,"Genesiscare Usa Of Kentucky, Llc"
1696,Freestanding Or Mobile Technology,Ephraim Mcdowell Diagnostic Center,101 Daniel Drive,Danville,KY,40422,Doug Ruggles,(859)936-8220,Ephraim Mcdowell Regional Medical Center
1697,Freestanding Or Mobile Technology,Flaget Cancer Center,4359 New Shepherdsville Rd St 100,Bardstown,KY,40004,Sarah Gabehart,(502)350-5700,"Flaget Healthcare, Inc."
1698,Freestanding Or Mobile Technology,Heartland Imaging,5227 Dixie Highway,Louisville,KY,40216,Chris Roadcap,(502)429-6500,"Heartland Diagnostics, Llc"
1699,Freestanding Or Mobile Technology,Heartland Imaging,7807 Shelbyville Road,Louisville,KY,40222,Kelly Firestine,(502)429-6500,"Oia, Llc"
1700,Freestanding Or Mobile Technology,"Hmh Imaging, Llc",1210 Ky Hwy 36E ,Cynthiana,KY,41031,Kathy Tussey,(859)235-3503,Harrison Memorial Hospital
1701,Freestanding Or Mobile Technology,"Independent Diagnostic Services, Llc",175 Medical Heights Drive,Frankfort,KY,40601,Rick Lyon,(502)226-2836,"Frankfort Mri Associates, Llc"
1702,Freestanding Or Mobile Technology,Lincoln Trail Diagnostics,1111 Woodland Dr,Elizabethtown,KY,42701,Kathi Zilhaver,(270)765-3700,"Outpatient Imaging Affiliates, Llc"
1703,Freestanding Or Mobile Technology,Markey Cancer Center At Lexington Clinic,2019 Corporate Drive,Richmond,KY,40475,Ryan Alvarez,(859)258-4670,University Of Kentucky
1704,Residential Care,Azalea Hills,3700 Lafayette Pkwy,Floyds Knobs,IN,47119,Melissa Prenatt,(812)923-4888,
1705,Freestanding Or Mobile Technology,"Nicholasville Road Mri, Llc",2463 Nicholasville Road,Lexington,KY,40503,Hanna Coleman,(859)276-1022,Central Kentucky Medical Imaging And Stephen J. Po
1706,Freestanding Or Mobile Technology,Norton Diagnostic Center - Brownsboro,"4915 Norton Healthcare Boulevard, Suite 101",Louisville,KY,40241,Kathy Meyer,(502)446-8906,"Norton Hospitals, Inc."
1707,Freestanding Or Mobile Technology,Norton Diagnostic Center - Dixie,"4420 Dixie Highway, Suite 108",Louisville,KY,40216,Rich Schilling,(502)541-3088,"Norton Hospitals, Inc"
1708,Freestanding Or Mobile Technology,Norton Diagnostic Center - Fern Creek,9344 Cedar Center Way,Louisville,KY,40291,Kathy Meyer,(502)753-3390,Norton Hospital
1709,Freestanding Or Mobile Technology,Norton Diagnostic Center Dupont,3901 Dutchmans Ln Ste 101,Louisville,KY,40207,Kathy Meyer,(502)896-2120,"Norton Hospitals, Inc"
1710,Freestanding Or Mobile Technology,Norton Diagnostic Center- Elizabethtown,"157 Towne Drive, Suite 101",Elizabethtown,KY,42701,Kathy Meyer,(270)740-5201,"Community Medical Associates, Inc."
1711,Freestanding Or Mobile Technology,Owensboro Health Outpatient Imaging-Breckenridge,1000 Breckenridge St Ste 101,Owensboro,KY,42303,Karen Dennis,(270)417-2000,"Owensboro Health , Inc."
1712,Freestanding Or Mobile Technology,Owensboro Health Outpatient Imaging-Healthplex,"2200 E Parrish Ave, Building D, Suite 200",Owensboro,KY,42303,Karen Dennis,(270)926-8171,"Owensboro Health, Inc"
1713,Freestanding Or Mobile Technology,Owensboro Health Radiation Therapy,1020 Breckenridge Street,Owensboro,KY,42303,Bill Jordan,(270)688-3600,"Owensboro Health , Inc."
1714,Freestanding Or Mobile Technology,"Proscan Imaging Of Louisville, Llc",4044 Dutchman'S Lane,Louisville,KY,40207,Travis Krouse,(502)491-1313,"Proscan Imaging Holdings, Llc"
1715,Freestanding Or Mobile Technology,Saint Joseph Jessamine ,1250 Keene Road,Nicholasville,KY,40356,Gregory Giles,(859)887-4100,"Saint Joseph Health System, Inc"
1716,Freestanding Or Mobile Technology,Saint Joseph Radiation Oncology,701 Bob O Link Drive Suite 120,Lexington,KY,40504,Dj Bodziony,(859)277-3737,Saint Joseph Health System
1717,Freestanding Or Mobile Technology,Saint Joseph Radiation Oncology,"3470 Blazer Parkway, Suite 200",Lexington,KY,40509,Gregory Bodager,(859)304-1796,"Saint Joseph Health System, Inc"
1718,Freestanding Or Mobile Technology,Simonmed Imaging - Louisville,4700B Chamberlain Lane,Louisville,KY,40241,Alyssa Lorenzo,(602)688-6116,"Smi Imaging, Llc"
1719,Freestanding Or Mobile Technology,St Elizabeth Imaging Center - Alexandria,7200 Alexandria Pike,Alexandria,KY,41001,Julie Stevens,(859)572-3388,St. Elizabeth Healthcare
1720,Freestanding Or Mobile Technology,St Elizabeth Imaging Center - Hebron,2200 Conner Road,Hebron,KY,41048,Dominic Favia,(859)814-0010,"St Elizabeth Medical Center, Inc."
1721,Freestanding Or Mobile Technology,St Elizabeth Medical Center Ambulatory Care Center,1500 James Simpson Way,Covington,KY,41011,Patricia Nortmann,(859)655-8800,"Saint Elizabeth Medical Center, Inc"
1722,Freestanding Or Mobile Technology,"Taylor Regional Radiation Oncology, Pllc",125 Greenbriar Drive,Campbellsville,KY,42718,Mike Everett,(270)789-9999,"Taylor Regional Radiation Oncology, Pllc"
1723,Freestanding Or Mobile Technology,"The Barren River Cancer Center, Inc",103 Trista Lane,Glasgow,KY,42141,Wade Stone,(270)651-2478,"The Barren River Regional Cancer Center, Inc."
1724,Freestanding Or Mobile Technology,U Of L Health-  Medical Center Northeast,2401 Terra Crossing Boulevard,Louisville,KY,40245,Angelica Thompson,(502)210-4200,"U Of L Health-Louisville, Inc."
1725,Freestanding Or Mobile Technology,U Of L Physicians - Outpatient Diagnostic Center,"5129 Dixie Highway, Suite 101",Louisville,KY,40216,Tim Rose,(502)210-4210,U Of L Health
1726,Long Term Care,Rockcastle Health And Rehabilitation Center,371 West Main Street,Brodhead,KY,40409,Austin Gibson,(606)758-8711,"Lp Brodhead, Llc"
1727,Nursing Home,Rockcastle Health And Rehabilitation Center,371 West Main Street,Brodhead,KY,40409,,(606)758-8711,
1728,Ambulatory Infusion Agency,Kentuckiana Pain Specialists,"3710 Chamberlain Lane, Suite A",Louisville,KY,40241,Radhika Nair,(502)299-4005,Mr. Ajith Nair
1729,Health Care Service Agency,Accurate Healthcare Professionals,"2300 Meadow Drive, Suite 202",Louisville,KY,40218,Lori Lone,(502)671-0996,"Accurate Healthcare Professionals, Llc"
1730,Health Care Service Agency,"Actalent Scientific, Llc","9500 Ormsby Station Road, Suite 310",Louisville,KY,40223,Chris Dodson,(502)450-9810,"Actalent Scientific, Llc"
1731,Health Care Service Agency,Alliance Medical & Home Care,3716 Willow Ridge Rd,Lexington,KY,40514,Teresa Foster,(859)296-9525,"The Competitive Edge Ii, Llc"
1732,Health Care Service Agency,"Amergis Healthcare Staffing, Inc","401 South 4Th Street, Suite 1108",Louisville,KY,40202,Chase Coulter,(502)909-3502,"Amergis Holdings, Inc"
1733,Health Care Service Agency,"Amergis Healthcare Staffing, Inc","10300 Alliance Rd, Suite 310",Cincinnati,KY,45242,Jordan Crowell,(513)793-4407,"Amergis Holdings, Inc"
1734,Health Care Service Agency,American Nursing Care,"6281 Tri Ridge, Suite 300 L",Loveland,KY,45150,Victoria Dixon,(513)245-1500,
1735,Health Care Service Agency,Ams Healthcare Staffing,"1400 Browns Lane, Suite A",Louisville,KY,40207,Eric Makowski,(502)581-1725,"Ams Temporaries, Inc"
1736,Physician Office Laboratories,Kentuckiana Pain Specialists,"3710 Chamberlain Lane, Suite A",Louisville,KY,40241,,(502) 995-4004,
1737,Health Care Service Agency,Connectrn,"306 West Main Street, Suite 512",Frankfort,KY,40601,Ted Jeanloz,(617)944-1515,"Connectrn, Inc"
1738,Health Care Service Agency,Diplomat Health Care Staffing Agency Llc,"2300 Meadow Dr, Ste 201",Louisville,KY,40228,Andrew Nankwenya,(502)712-1749,Diplomat Health Care Staffing Agency Llc
1739,Health Care Service Agency,Domestic Partners Llc,4200 Sanctuary Bluff Ln,Louisville,KY,40241,James Henry,(502)939-9669,Kentucky Caretakers Llc
1740,Health Care Service Agency,Globetrot Health Llc,12009 1/2 Brinley Avenue,Louisville,KY,40243,Tate Downing,(270)535-9760,"Globetrot Health, Llc"
1741,Health Care Service Agency,"Guardian Angel Staffing Agency, Inc",2821 South Hurstbourne Parkway Suite 6,Louisville,KY,40220,Scott Langness,(502)495-1199,"Guardian Angel Staffing Agency, Inc."
1742,Health Care Service Agency,"Guardian Healthstaff, Llc","1040 Monarch Street, 3Rd Floor",Lexington,KY,40513,Laurie Stollenwerk,(859)785-2766,"Guardian Healthstaff, Llc"
1743,Health Care Service Agency,"Health Carousel Travel Network, Llc","4000 Smith Road, Suite 410",Cincinnati,KY,45209,Katie Kampmann,(800)580-8239,"Health Carousel, Llc"
1744,Health Care Service Agency,"Ingenovis Talent Operations, Llc ",4675 Cornell Road,Cincinnati,KY,45241,Kelly Duggan,(877)880-0346,"Ingenovis Talent Operations, Llc"
1745,Health Care Service Agency,"Insight Global, Llc","101 S 5Th Street, Suite 1800",Louisville,KY,40202,David Lowance,(855)485-8732,"Insight Global, Llc"
1746,Health Care Service Agency,Ler Healthcare Llc,"305 Franklin Street, Suite Lerh",Columbus,KY,47201,Susan Allison,(502)777-9387,"Ler Techforce, Llc"
