INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,PHONE,ADMINISTRATOR,OWNER,LICENSE_NO,LICENSE_EXPIRATION,BEDS,long,lat
271,Critical Access Hospital,Cumberland County Hospital,299 Glasgow Road,Burkesville,KY,42717,(270) 864-2511,Richard Neikirk,"Cumberland County Hospital Association, Inc.",600068,09/30/2026,N/A,-85.40905955,36.79102026
272,Critical Access Hospital,Deaconess Union County Hospital,4604 Us Highway 60 West,Morganfield,KY,42437,(270) 389-5000,Amber Powell,"Deaconess Union County Hospital, Inc.",600057,12/31/2025,N/A,-87.94367878,37.62676339
273,Critical Access Hospital,Ephraim Mcdowell Fort Logan Hospital,110 Metker Trail,Stanford,KY,40484,(606) 365-4788,Lynne Lynn,"Emhfl, Inc.",600066,10/31/2026,N/A,-84.65354451,37.54352134
274,Critical Access Hospital,Jane Todd Crawford Hospital,290 Industrial Park Road,Greensburg,KY,42743,(270) 932-4211,Rex A. Tungate,"Jane Todd Crawford Memorial Hospital, Inc.",600077,12/31/2025,N/A,-85.49190902,37.2677227
275,Critical Access Hospital,Kentucky River Medical Center,540 Jett Drive,Jackson,KY,41339,(606) 666-6000,Susie Morgan,Jackson Hospital Corporation,100620,01/31/2026,N/A,-83.3692111,37.5658266
276,Critical Access Hospital,"Livingston Hospital And Healthcare Services, Inc",131 Hospital Drive,Salem,KY,42078,(270) 988-2299,Shane Whittington,"Livingston Hospital & Healthcare Services, Inc.",600071,11/30/2025,N/A,-88.22923482,37.26311667
277,Critical Access Hospital,Marcum & Wallace Memorial Hospital,60 Mercy Court,Irvine,KY,40336,(606) 723-2115,Trena Stocker,"Mercy Health - Marcum & Wallace Hospital, Llc",600052,07/31/2026,N/A,-83.97783976,37.70588885
278,Critical Access Hospital,Marshall County Hospital,615 Old Symsonia Road,Benton,KY,42025,(270) 527-4800,David Fuqua,Marshall Co. Public Hosp. Dist. Corp.,600078,07/31/2026,N/A,-88.36491048,36.86556988
279,Critical Access Hospital,Mary Breckinridge Arh Hospital,130 Kate Ireland Drive,Hyden,KY,41749,(606) 672-2901,Mallie Noble,"Arh Mary Breckinridge Health Services, Inc.",600067,03/31/2026,N/A,-83.37842572,37.16384974
280,Critical Access Hospital,Mcdowell Arh Hospital,9879 Kentucky Route 122,Mc Dowell,KY,41647,(606) 377-3400,Danita Hampton,"Appalachian Regional Healthcare, Inc.",600082,08/31/2026,N/A,-82.74754672005707,-82.74754672005707
281,Critical Access Hospital,Morgan County Arh Hospital,476 Liberty Road,West Liberty,KY,41472,(606) 743-3186,Allie Archer,"Appalachian Regional Healthcare, Inc.",600058,03/31/2026,N/A,-83.26628028,37.9218424
282,Critical Access Hospital,Ohio County Hospital,1211 Old Main Street,Hartford,KY,42347,(270) 298-7411,Shellie Shouse,Ohio County Hospital Corporation,600073,09/30/2026,N/A,-86.89709693,37.44772974
283,Critical Access Hospital,Russell County Hospital,153 Dowell Road,Russell Springs,KY,42642,(270) 866-4141,Scott Thompson,"Russell Co Hosp Dist Health Fac Corporation, Inc.",600081,06/30/2026,N/A,-85.06696191,37.05743689
284,Critical Access Hospital,St Elizabeth Grant,238 Barnes Road,Williamstown,KY,41097,(859) 824-8105,Missy Miles,"St. Elizabeth Medical Center, Inc.",600062,06/30/2026,N/A,-84.5774451,38.6480988
285,Critical Access Hospital,The James B Haggin Memorial Hospital,464 Linden Avenue,Harrodsburg,KY,40330,(859) 239-3800,Lynne Lynn,"The James B. Haggin Memorial Hospital, Inc.",600053,02/28/2026,N/A,-84.84828339,37.75655271
286,Critical Access Hospital,The Medical Center At Albany,723 Burkesville Road,Albany,KY,42602,(606) 387-3651,Alan Alexander,Bowling Green-Warren Co Community Hsp Corp,100078,10/31/2025,N/A,-85.14394779,36.69775198
287,Critical Access Hospital,The Medical Center At Caverna,1501 South Dixie Street,Horse Cave,KY,42749,(270) 786-2191,Alan Alexander,Bowling Green - Warren County Community Hospital C,600065,01/31/2026,N/A,-85.92317756,37.16037144
288,Critical Access Hospital,The Medical Center At Franklin,1100 Brookhaven Road,Franklin,KY,42135,(270) 598-4800,Annette Runyon,Bowling Green-Warren Co Community Hsp Corp,600069,02/28/2026,N/A,-86.5759788,36.7027878
289,Critical Access Hospital,The Medical Center At Scottsville,456 Burnley Road,Scottsville,KY,42164,(270) 622-2800,Eric Hagan,Bowling Green Warren County Community Hospital Cor,600076,02/28/2026,N/A,-86.21638001,36.76093277
290,Critical Access Hospital,Trigg County Hospital,254 Main Street,Cadiz,KY,42211,(270) 522-3215,John Sumner,"Trigg County Hospital, Inc.",600055,11/30/2025,N/A,-87.82203258,36.86707926
291,Critical Access Hospital,Wayne County Hospital,166 Hospital Street,Monticello,KY,42633,(606) 348-9343,Joe Murrell,Wayne County Hospital Inc,600074,03/31/2026,N/A,-84.86816427,36.820196
292,Family Care Home,Hadley Family Care Home,625 East 80 Drive,Columbia,KY,42728,2703844083,Rita Hadley,Ms Rita Hadley,252576,06/30/2026,3,-85.26682723,37.09741017
293,Family Care Home,Hall And Preston Family Care Home,122 East Shelby Street,Junction City,KY,40440,8598546307,Tammy Preston,Tammy Preston,252468,Pending Renewal,3,-84.78408425,37.58182679
294,Family Care Home,Wilson Family Care Home,135 Tackett Drive,Olive Hill,KY,41164,6062865194,Linda Wilson,Ms. Linda Lou Wilson,252302,09/30/2026,3,-83.11530235,38.32786107
295,Family Care Home,Rachel Family Care,1989 Drummond Drive,Lexington,KY,40511,2073177936,Rachel Vangu,Rachel Vangu,252673,Pending Renewal,0,-84.50674138,38.10552867
296,Family Care Home,Baker Family Care Home,2058 Dripping Springs Road,Crab Orchard,KY,40419,8597794614,Linda Baker,Donald And Linda Baker,251442,12/31/2025,3,-84.462295,37.51030114
297,Family Care Home,Stiles Family Care Home,3175 Harmons Lick Road,Crab Orchard,KY,40419,8597921424,Carolyn Stiles,Ms Carolyn Stiles,251482,02/28/2026,3,-84.46226313,37.52831097
298,Family Care Home,Cooper Fch,132 North Walnut Street,Upton,KY,42784,2705075066,Elizabeth Cooper,Elizabeth Cooper,252624,04/30/2026,3,-85.8936516,37.46548604
299,Family Care Home,Sanders Family Care Home,71 Holman Ave,Elizabethtown,KY,42701,2703174249,Patricia Sanders,,252641,06/30/2026,3,-85.81864037,37.71721895
300,Family Care Home,Jackson Family Care Home,82 Jackson Cemetery Road,Annville,KY,40402,6063642614,Nancy Jackson,Ms Nancy Jackson,252308,10/31/2025,3,-83.92312766,37.31784776
301,Family Care Home,Anita'S Family Care Home,2201 Osage Avenue,Louisville,KY,40210,5023109036,Anita Redmond,,252651,Pending Renewal,3,-85.7900036,38.23939095
302,Family Care Home,Bronson Family Care Home,808 River Crest Drive,Louisville,KY,40206,5025436297,Gwendolyn Bronson,Gwendolyn Bronson,252630,Pending Renewal,3,-85.70024204,38.26826251
303,Family Care Home,Donnell Family Care Home,4211 Stone Lakes Drive,Louisville,KY,40299,5025931015,Treva Donnell,Treva W. Donnell,252631,Pending Renewal,3,-85.51410323,38.1832987
304,Family Care Home,Drake Fch,2231 Farnsley Road,Louisville,KY,40216,5027781512,Carrie Drake,Carrie Drake,252599,Pending Renewal,3,-85.81982069,38.20228259
305,Family Care Home,E C Alexander Family Care Home,11314 Angelina Road,Louisville,KY,40229,5029570366,Emma Alexander,Emma Alexander,252659,03/31/2026,3,-85.69251705,38.07787695
306,Family Care Home,Green Family Care Home,3302 Garland Avenue,Louisville,KY,40211,5026433519,Glennis Smith,Glennis Smith,252594,02/28/2026,3,-85.80754496,38.24566023
307,Family Care Home,Lewis Family Care Home,775 Tolley Road,Waynesburg,KY,40489,6063657991,Mildred Lewis,Ms Mildred Lewis,252057,04/30/2026,3,-84.62115025,37.34938213
308,Family Care Home,Carter Family Care Home,407 Center Street,Berea,KY,40403,8599869201,Beulah Carter,Ms Beulah Carter,251558,11/30/2025,3,-84.28211961,37.57479139
309,Family Care Home,Caring With A Smile Family Care Home,3211 Blackjack Road,Franklin,KY,42134,2702535000,Lekesha Matthews,"Caring With A Smile Home Care, Llc",252682,Pending Renewal,3,-86.53009538,36.76154384
310,Family Care Home,Bengal Family Care Home,2480 Old Lebanon Road,Campbellsville,KY,42718,2708494051,Shirley Phillips,Shirley Ann Phillips,252670,01/31/2026,3,-85.34442967,37.37554773
311,Hospital,T J Health Columbia,901 Wellness Way,Columbia,KY,42728,270-384-4753,Neil Thornbury,T J Health Columbia Inc. ,100001,2026-07-31 00:00:00,N/A,-85.29462947652976,-85.29462947652976
312,Hospital,The Medical Center At Scottsville,456 Burnley Road,Scottsville,KY,42164,270-622-2800,Eric Hagan,B G Warren County Comm  Hosp Corp,600076,2026-02-28 00:00:00,N/A,-86.21638001,36.76093277
313,Hospital,T J Samson Community Hospital,1301 North Race Street,Glasgow,KY,42141,270-651-4159,Neil Thornbury,"T J Samson Community Hospital, Inc.",100016,2025-12-31 00:00:00,N/A,-85.90387873,37.01141717
314,Hospital,Middlesboro Arh Hospital,3600 W Cumberland Ave,Middlesboro,KY,40965,606-242-1100,Michael Slusher,Appalachian Regional Healthcare Inc,100019,2026-01-31 00:00:00,N/A,-83.74121519,36.60522824
315,Hospital,"Pineville Community Health Center, Inc",850 Riverview Ave,Pineville,KY,40977,606-337-3051,Kevin Couch,"Pineville Medical Center, Llc",100020,2025-08-31 00:00:00,N/A,-83.70773394,36.76325237
316,Hospital,Gateway Rehabilitation Hospital ,5940 Merchant Street,Florence,KY,41042,859-426-2400,Stuart Locke,Vibra Rehabilitation Hospital Of Florence Llc,100928,2025-12-31 00:00:00,N/A,-84.65649292,39.0077756
317,Hospital,St. Elizabeth Florence,4900 Houston Road,Florence,KY,41042,859-2121-5220,Dr. Latonya Brown,"Saint Elizabeth Medical Center, Inc.",100273,2025-10-31 00:00:00,N/A,-84.63812422,39.01442745
318,Hospital,Bourbon Community Hospital,9 Linville Drive,Paris,KY,40361,859-987-3600,Matt Smith,"Bourbon Community, Llc",100023,2026-05-31 00:00:00,N/A,-84.23828212,38.22240102
319,Hospital,Bellefonte Hospital And Recovery Center,50 Recovery Drive,Ashland,KY,41101,(606) 744-1300,Tim  Robinson,"Arc Health Systems, Llc",101391,2025-11-30 00:00:00,N/A,-82.6943106,-82.6943106
320,Hospital,Kings Daughters Medical Center,2201 Lexington Ave,Ashland,KY,41101,606-408-4401,Kristie Whitlatch,Ashland Hospital Corporation,100958,2026-02-28 00:00:00,N/A,-82.63588793,38.47039288
321,Hospital,Ephraim Mcdowell Regional Medical Center,217 South Third Street,Danville,KY,40422,859-239-2409,Daniel Mckay,Ephraim Mcdowell Regional Medical Center Inc,100034,2026-03-31 00:00:00,N/A,-84.77268723,37.64409264
322,Hospital,Kentucky River Medical Center,540 Jett Drive,Jackson,KY,41339,606-666-6000,John Ballard,Jackson Hospital Corporation,100620,2026-01-31 00:00:00,N/A,-83.3692111,37.5658266
323,Hospital,Uofl South Hospital,1903 West Hebron Lane,Shepherdsville,KY,40165,502-955-3001,Dorie Shelbrune,Uofl Health,101393,2026-02-28 00:00:00,N/A,-85.69611974,38.06023329
324,Hospital,Caldwell Medical Center,100 Medical Center Drive,Princeton,KY,42445,270-365-0300,William Baptist Health Lexington,"Caldwell County Hospital, Inc.",600072,2026-01-31 00:00:00,N/A,-87.9091068,37.1139275
325,Hospital,Murray Calloway County Hospital,803 Poplar Street,Murray,KY,42071,270-762-1100,Jerome Penner,Murray Calloway Co Public Hospital Corp,100053,2026-06-30 00:00:00,N/A,-88.30865331,36.60859405
326,Hospital,St. Elizabeth Ft. Thomas,85 North Grand Avenue,Ft. Thomas,KY,41075,859-572-3100,Kevin Gessner,"Saint Elizabeth Medical Center, Inc.",100059,2025-10-31 00:00:00,N/A,-84.46522224,39.07859823
327,Hospital,Casey County Hospital,187 Wolford Avenue,Liberty,KY,42539,606-787-6275,Rex Tungate,Casey Co. Hsp. District,600060,2025-11-30 00:00:00,N/A,-84.93174117,37.31788616
328,Hospital,Cumberland Hall,270 Walton Way,Hopkinsville,KY,42240,270-886-1919,David Melear,"Abs Lincs Ky, Inc.",100597,2026-04-30 00:00:00,N/A,-87.4681412,36.7384557
329,Hospital,Jennie Stuart Medical Center Inc,320 West 18Th Street,Hopkinsville,KY,42241,270-887-0100,Eric Lee,Jennie Stuart Medical Center Inc,100068,2026-03-31 00:00:00,N/A,-87.49539427,36.86036647
330,Hospital,Clark Regional Medical Center,175 Hospital Drive,Winchester,KY,40391,859-737-8559,Aphreikah Duhaney-West,"Kentucky Hospital, Llc",100073,2026-02-28 00:00:00,N/A,-84.2164433,38.011421
331,Hospital,Adventhealth Manchester,210 Marie Langdon Drive,Manchester,KY,40962,606-598-5104,Chris   Self,Memorial Hospital Inc,100075,2026-02-28 00:00:00,N/A,-83.7614902,37.16178992
332,Hospital,The Medical Center At Albany,723 Burkesville Road,Albany,KY,42602,606-387-6421,Laura Belcher,Bowling Green-Warren County Community Hospital Corporation,100078,2025-10-31 00:00:00,N/A,-85.14394779,36.69775198
333,Hospital,Crittenden Community Hospital,520 West Gum Street,Marion,KY,42064,270-965-5281,Shawn Bright,Crittenden Community Hospital Llc,670000,2026-02-28 00:00:00,N/A,-88.09105267,37.32949153
334,Hospital,Cumberland County Hospital,299 Glasgow Road,Burkesville,KY,42717,270-864-2511,Richard Neikirk,"Cumberland County Hospital Association, Inc.",600068,2026-09-30 00:00:00,N/A,-85.40905955,36.79102026
335,Hospital,Owensboro Health Regional Hospital,1201 Pleasant Valley Road,Owensboro,KY,42303,270-417-2000,Mark Marsh ,"Owensboro Health, Inc.",100092,2026-09-30 00:00:00,N/A,-87.06598905,37.77305247
336,Hospital,River Valley Behavioral Health,1000 Industrial Drive,Owensboro,KY,43202,270-689-6800,Katie Demko Day,Green River Regional Mh Mr Board Inc,100586,2026-06-30 00:00:00,N/A,-87.15653428,37.78366079
337,Hospital,Marcum And Wallace Memorial Hospital,60 Mercy Court,Irvine,KY,40336,606-723-2115,Susan Starling,"Mercy Health - Marcum & Wallace Hospital, Llc",600052,2026-07-31 00:00:00,N/A,-83.97783976,37.70588885
338,Hospital,Cardinal Hill Rehabilitation Hospital,2050 Versailles Road,Lexington,KY,40504,859-254-5701,Jarrett 1740 Nicholasville Road,Encompass Health Rehabilitation Hospital Of Cardinal Hill,100100,2025-11-30 00:00:00,N/A,-84.5421583,38.04755636
339,Hospital,Eastern State Hospital,1350 Bull Lea Road,Lexington,KY,40511,859-246-8000,Lindsey Jasinski,Commonwealth Of Kentucky,100102,2026-08-31 00:00:00,N/A,-84.49811841,38.08426442
340,Hospital,Saint Joseph East,150 N Eagle Creek Drive,Lexington,KY,40509,859-967-5000,Eric Gilliam,"Saint Joseph Health System, Inc.",100538,2025-12-31 00:00:00,N/A,-84.44022028,38.00024736
341,Hospital,The Ridge Behavioral Health System,3050 Rio Dosa Drive,Lexington,KY,40509,859-269-2325,Nina Eisner,"Uhs Of Ridge, Inc",100534,2026-04-30 00:00:00,N/A,-84.44167202,38.00520033
342,Hospital,Uk Healthcare Good Samaritan Hospital,310 South Limestone Street,Lexington,KY,40508,859-323-5211,Timothy Slocum,"University Of Kentucky, An Agency Of The Commonwealth Of Kentucky",100104,2025-11-30 00:00:00,N/A,-84.50137875,38.04324994
343,Hospital,University Of Kentucky Hospital,800 Rose Street,Lexington,KY,40536,859-323-5211,Tim Slocum,Commonwealth Of Ky,100121,2026-05-31 00:00:00,N/A,-84.50672128,38.03283182
344,Hospital,Fleming County Hospital,55 Foundation Drive,Flemingsburg,KY,41041,606-849-2351,Brian  Springate,"Fleming Medical Center, Llc",100123,2026-05-31 00:00:00,N/A,-83.75146749996101,-83.75146749996101
345,Hospital,Arh Our Lady Of The Way,11203 Main Street,Martin,KY,41649,606-285-6401,Kathy Stumbo,"Arh Mary Breckinridge Health Services, Inc. ",600056,2026-05-31 00:00:00,N/A,-82.75081503,37.57848204
346,Hospital,Highlands Regional Medical Center,5000 Kentucky Route 321,Prestonsburg,KY,41653,606-886-8511,Tim Hatfield,"Arh Tug Valley Health Services, Inc.",100124,2026-01-31 00:00:00,N/A,-82.7685462,37.7296357
347,Hospital,Mcdowell Arh Hospital,9879 Kentucky Route 122,Mcdowell,KY,41647,606-377-3400,Danita Hampton,Appalachian Regional Healthcare Inc,600082,2026-08-31 00:00:00,N/A,-82.74754672005707,-82.74754672005707
348,Hospital,Frankfort Regional Medical Center,299 Kings Daughters Drive,Frankfort,KY,40601,502-875-5240,Reed Hammond,Frankfort Hospital Inc,100130,2025-12-31 00:00:00,N/A,-84.90619664,38.15956971
349,Hospital,St. Elizabeth Grant,238 Barnes Rd.,Williamstown,KY,41097,859-824-8240,Missy Miles,St Elizabeth Medical Center Inc,600062,2026-06-30 00:00:00,N/A,-84.5774451,38.6480988
350,Hospital,Jackson Purchase Medical Center,1099 Medical Center Circle,Mayfield,KY,42066,270-251-4585,Dave Anderson,"Pinelake Regional Hospital, Llc",100143,2026-03-31 00:00:00,N/A,-88.65093831,36.75972697
351,Hospital,Owensboro Health Twin Lakes Medical Center,910 Wallace Avenue,Leitchfield,KY,42754,270-259-9400,Wayne Meriwether,"Owensboro Health Twin Lakes Regional Medical Center, Inc.",100151,2026-01-31 00:00:00,N/A,-86.28676713,37.47330399
352,Hospital,Jane Todd Crawford Memorial Hospital,290 Industrial Park Rose,Greensburg,KY,42743,270-932-4211,Rusty Tungate,"Jane Todd Crawford Memorial Hospital, Inc.",600077,2025-12-31 00:00:00,N/A,-85.49190902,37.2677227
353,Hospital,Baptist Health Hardin,913 N Dixie Avenue,Elizabethtown,KY,42701,270-737-5200,Robert Ramey,"Baptist Healthcare System, Inc.",100160,2025-11-30 00:00:00,N/A,-85.8765886,37.710481
354,Hospital,Encompass Health Rehabilitation Hospital Of Lakeview,134 Heartland Drive,Elizabethtown,KY,42701,270-769-3100,Lori Jarboe,"Encompass Health Rehabilitation Hospital Of Lakeview, Llc",100601,2026-05-31 00:00:00,N/A,-85.87465983,37.7133887
355,Hospital,Lincoln Trail Behavioral Health System,3909 South Wilson Road,Radcliff,KY,40160,270-351-9444,Charles Webb,United Health Care Of Hardin Inc,100574,2026-04-30 00:00:00,N/A,-85.91261742,37.7886128
356,Hospital,Harlan Arh Hospital,81 Ball Park Road,Harlan,KY,40831,606-573-8100,Donald Fields,Appalachian Regional Healthcare Inc,100163,2025-10-31 00:00:00,N/A,-83.31439943,36.81013092
357,Hospital,Harrison Memorial Hospital,1210 Kentucky Highway 36 East,Cynthiana,KY,41031,859-234-2300,Dr. Kathy Tussey,Harrison Memorial Hospital Inc,100167,2025-10-31 00:00:00,N/A,-84.31452813,38.40360016
358,Hospital,The Medical Center At Caverna,1501 S. Dixie Street,Horse Cave,KY,42749,270-786-2191,Alan Alexander,Bowling Green-Warren County Community Hospital Corporation,600065,2026-01-31 00:00:00,N/A,-85.92317756,37.16037144
359,Hospital,Deaconess Henderson Hospital,1305 N Elm Street,Henderson,KY,42420,270-827-7700,Linda White,Community United Methodist Hospital Inc,100173,2026-08-31 00:00:00,N/A,-87.58194576,37.85284104
360,Hospital,Baptist Health Louisville,4000 Kresge Way,Louisville,KY,40207,502-897-8100,"Jonathan Velez, Md","Baptist Healthcare Systems, Inc.",100451,2026-03-31 00:00:00,N/A,-85.63778878,38.23969365
361,Hospital,Central State Hospital,10510 Lagrange Road,Louisville,KY,40223,502-253-7045,Matt  Mooring,Commonwealth Of Ky,100198,2026-09-30 00:00:00,N/A,-85.55857515,38.27076615
362,Hospital,Kindred Hospital Louisville,1313 Saint Anthony Place,Louisville,KY,40204,502-587-0060,Jack Nicholson,Kindred Hospitals Ltc Partnership,100251,2026-04-30 00:00:00,N/A,-85.73106217,38.24261959
363,Hospital,Norton Audubon Hospital,One Audubon Plaza Drive,Louisville,KY,40217,502-636-7006,Jon Cooper,"Norton Hospitals, Inc.",100252,2026-06-30 00:00:00,N/A,-85.72304698,38.21408155
364,Hospital,Norton Brownsboro Hospital,4960 Norton Healthcare Boulevard,Louisville,KY,40241,502-446-8000,Jeremy Sprecher,"Norton Hospitals, Inc.",100475,2026-08-31 00:00:00,N/A,-85.57321682,38.31491788
365,Hospital,Norton Hospital/Norton Medical Pavilion/Norton Children'S Hospital,200 East Chestnut Street,Louisville,KY,40202,502-629-8000,Matthew Ayers,"Norton Hospitals, Inc.",100234,2026-01-31 00:00:00,N/A,-85.75176209,38.24821177
366,Hospital,Norton West Louisville Hospital,850 South 28Th Street,Louisville,KY,40211,(502) 644-3639,Corenza Townsend,"Norton Hospitals, Inc.",101559,2025-09-30 00:00:00,N/A,-85.79905193,38.24556989
367,Hospital,"Rehabilitationhospitaloflouisville,Llc,Dba Baptisthealthrehabilitationhospital",11800 Bluegrass Parkway,Louisville,KY,40299,(502)579-5000,Andrew Strausbaugh,"Rehabilitation Hospital Of Louisville, Llc ",101386,2026-06-30 00:00:00,N/A,-85.5362218,38.21709557
368,Hospital,The Brook - Dupont,1405 Browns Lane,Louisville,KY,40207,502-896-0495,Paul Andrews,"Tbd Acquisition, Llc",100595,2025-12-31 00:00:00,N/A,-85.62972609,38.23599219
369,Hospital,The Brook Hospital - Kmi,8521 Lagrange Rd,Louisville,KY,40242,502-426-6380,Paul Andrews,"Kmi Acquisition, Llc",100241,2025-11-30 00:00:00,N/A,-85.59366886,38.26577042
370,Hospital,"U Of L Health, Frazier Rehabilitation Hospital-Brownsboro",5000 Chamberlain Lane,Louisville,KY,40241,(502)861-9600,Karen Young,"Rehabilitation Hospital Of Louisville Eae, Llc",101390,2026-06-30 00:00:00,N/A,-85.56899958,38.31647739
371,Hospital,University Of Louisville Hospital,530 S Jackson St,Louisville,KY,40202,502-562-3000,Ken Marshall,University Medical Center Inc,100220,2026-06-30 00:00:00,N/A,-85.74498577,38.24908882
372,Hospital,Uofl Health - Frazier Rehabilitation Institute,220 Abraham Flexner Way,Louisville,KY,40202,502-407-3242,Cathy Spalding,"Uofl Health - Louisville, Inc.",100244,2025-11-30 00:00:00,N/A,-85.74886462,38.24902858
373,Hospital,Uofl Health - Jewish Hospital,200 Abraham Flexner Way,Louisville,KY,40202,502-587-4011,John Walsh,"Uofl Health - Louisville, Inc.",100215,2025-11-30 00:00:00,N/A,-85.74897433,38.24903833
374,Hospital,Uofl Health - Mary And Elizabeth Hospital,1850 Bluegrass Avenue,Louisville,KY,40215,502-361-6000,Melisa Adkins,"Uofl Health - Louisville, Inc.",100254,2025-11-30 00:00:00,N/A,-85.79374115,38.17936096
375,Hospital,Uofl Health - Peace Hospital,2020 Newburg Rd,Louisville,KY,40205,502-451-3330,Keith Rankin,"Uofl Health - Louisville, Inc.",100236,2026-07-31 00:00:00,N/A,-85.70886401,38.2183632
376,Hospital,Carroll County Memorial Hospital,309 Eleventh Street,Carrollton,KY,41008,502-732-4321,"Liter Lexington, Ky 40503",Ccmh Corporation,600061,2026-07-31 00:00:00,N/A,-85.16930509,38.68040046
377,Hospital,Paintsville Arh Hospital,625 James S Trimble Blvd,Paintsville,KY,41240,606-789-3511,Kathy Stumbo,"Arh Tug Valley Health Services, Inc.",100263,2026-08-31 00:00:00,N/A,-82.81231328,37.8149591
378,Hospital,Encompass Health Rehabilitation Hospital Of Northern Kentucky,201 Medical Village Drive,Edgewood,KY,41017,859-341-2044,Dean Blevins,"Healthsouth Northern Kentucky Rehabilitation Hospital, Llc",100592,2026-09-30 00:00:00,N/A,-84.56497913,39.01043719
379,Hospital,St. Elizabeth Edgewood,1 Medical Village Dr.,Edgewood,KY,41017,859-301-2000,Garren Colvin,St Elizabeth Medical Center Inc,100500,2025-12-31 00:00:00,N/A,-84.56477548,39.00798015
380,Hospital,Sun Behavioral Health ,820 Dolwick Drive,Erlanger,KY,41018,732-747-1800,Jason Statts,"Northern Kentucky Behavioral, Llc",100265,2026-02-28 00:00:00,N/A,-84.5944414,39.0389472
381,Hospital,Barbourville Arh Hospital,80 Hospital Drive,Barbourville,KY,40906,606-546-4175,Charles Lovell,"Arh Mary Breckinridge Health Services, Inc.",600080,2026-07-31 00:00:00,N/A,-83.87045115,36.85221241
382,Hospital,Chi Saint Joseph Hospital London,1001 Saint Joseph Lane,London,KY,40741,606-330-6000,John Yanes,"Saint Joseph Health System, Inc.",100281,2026-05-31 00:00:00,N/A,-84.10865245424742,-84.10865245424742
383,Hospital,Three Rivers Medical Center,2485 Highway 644,Louisa,KY,41230,606-638-9451,Greg Kiser,Hospital Of Louisa Inc,100282,2026-03-31 00:00:00,N/A,-82.60501512056584,-82.60501512056584
384,Hospital,Mary Breckinridge Arh Hospital,130 Kate Ireland Drive,Hyden,KY,41749,606-672-2901,Mallie Noble,"Arh Mary Breckinridge Health Services, Inc.",600067,2025-03-31 00:00:00,N/A,-83.37842572,37.16384974
385,Hospital,Whitesburg Arh Hospital,240 Hospital Road,Whitesburg,KY,41858,606-633-3500,Jamie Easterling,Appalachian Regional Healthcare Inc,100288,2026-07-31 00:00:00,N/A,-82.81279959,37.11333243
386,Hospital,Ephraim Mcdowell Fort Logan Hospital,110 Metker Trail,Stanford,KY,40484,606-365-4788,Daniel Mckay,"Emhfl, Inc.",600066,2025-10-31 00:00:00,N/A,-84.65354451,37.54352134
387,Hospital,Livingston Hospital & Healthcare Services. Inc.,131 Hospital Drive,Salem,KY,42078,270-988-2299,Elizabeth Snodgrass,"Livingston Hospital And Healthcare Services, Inc.",600071,2025-11-30 00:00:00,N/A,-88.22923482,37.26311667
388,Hospital,The Medical Center At Russellville,1625 Nashville Street,Russellville,KY,42276,270-726-4011,Eric Hagan,Bowling Green-Warren County Community Hospital Corporation,100298,2026-08-31 00:00:00,N/A,-86.8815692,36.8162423
389,Hospital,Baptist Health Richmond,801 Eastern Bypass,Richmond,KY,40475,859-623-3131,Greg Gerard,"Baptist Health Richmond, Inc.",100322,2025-11-30 00:00:00,N/A,-84.28582551,37.731205
390,Hospital,Saint Joseph Berea,305 Estill Street,Berea,KY,40403,859-986-6500,Sandra Rose,"Saint Joseph Health System, Inc.",600079,2026-01-31 00:00:00,N/A,-84.28736322,37.57362211
391,Hospital,Spring View Hospital,320 Loretto Road,Lebanon,KY,40033,270-692-5145,Reba Celsor,"Spring View Hospital, Llc",100327,2026-07-31 00:00:00,N/A,-85.26101215,37.57068054
392,Hospital,Marshall County Hospital,"615 Old Symsonia Road,  Po Box 630",Benton,KY,42025,270-527-4800,David Fuqua,Marshall Co. Public Hospital District Corp,600078,2026-07-31 00:00:00,N/A,-88.36491048,36.86556988
393,Hospital,Meadowview Regional Medical Center,989 Medical Park Drive,Maysville,KY,41056,606-759-5311,Kathy Vancampen,Meadowview Regional Medical Center Llc,100332,2026-04-30 00:00:00,N/A,-83.80789417,38.64077825
394,Hospital,Baptist Health Corbin,1 Trillium Way,Corbin,KY,40701,606-528-1212,Bailey Powers,Baptist Healthcare System Inc,100417,2026-06-30 00:00:00,N/A,-84.11400936,36.92197795
395,Hospital,Baptist Health Paducah,2501 Kentucky Avenue,Paducah,KY,42003,270-575-2100,Kenny Boyd,Baptist Healthcare Systems Inc,100313,2025-12-31 00:00:00,N/A,-88.6276939,37.0734879
396,Hospital,Mercy Health Lourdes Hospital,1530 Lone Oak Rd,Paducah,KY,42003,270-444-2444,Michael Yungmann,"Mercy Health-Lourdes Hospital, Llc",100304,2026-05-31 00:00:00,N/A,-88.64711335,37.05341575
397,Hospital,The James B. Haggin Memorial Hospital,464 Linden Ave.,Harrodsburg,KY,40330,859-239-2409,Daniel  Mckay,The James B Haggin Memorial Hospital Inc,600053,2026-02-28 00:00:00,N/A,-84.84828339,37.75655271
398,Hospital,Monroe County Medical Center,529 Capp Harlan Rd,Tompkinsville,KY,42167,270-487-9231,Vicky Mcfall,Monroe Medical Foundation Inc,100338,2026-02-28 00:00:00,N/A,-85.67791412,36.6994171
